,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
232,JHS 123 JAMES M. KIERNAN,Middle School, 2.81 ,A,66.73,0.569,0.606,0.645,4.5,Proficient,352,10.6,87.8
233,JHS 131 ALBERT EINSTEIN,Middle School, 3.18 ,C,40.66,0.306,0.464,0.403,0,Proficient,454,12.2,84.8
234,MILLENNIUM ART ACADEMY,High School, 2.50 ,A,72.92,0.81,0.944,0.426,9,Proficient,427,13.7,74
235,MS 101X P.O. EDWARD R. BYRNE,Middle School, 3.92 ,B,50.5,0.599,0.786,0.326,0,Well-Developed,529,13.5,74.5
236,MS 301 PAUL L. DUNBAR MS,Middle School, 2.68 ,C,44.75,0.399,0.477,0.39,3,Proficient,244,11.0,95.1
237,MS 302 LUISA DESSUS CRUZ MS,Middle School, 2.82 ,B,62.52,0.537,0.589,0.587,4.5,Well-Developed,481,13.3,94.4
238,PS 014 SEN JOHN CALANDRA,Elementary School, 47.77 ,D,38.64,0.571,0.497,0.262,0.75,Proficient,548,14.0,67.9
239,PS 036 UNIONPORT,Elementary School, 66.52 ,A,66.25,0.706,0.804,0.533,2.25,Well-Developed,759,13.7,78
240,PS 048 JOSEPH R DRAKE,Elementary School, 77.46 ,C,39.6,0.45,0.525,0.297,0.75,Well-Developed,696,11.9,93
241,PS 062 INOCENSIO CASANOVA,Elementary School, 78.85 ,B,57.16,0.514,0.402,0.611,3.75,Proficient,699,14.2,98.4
242,PS 071 ROSE E SCALA,K-8 School, 43.77 ,B,53.32,0.439,0.511,0.516,3,Well-Developed,"1,647",14.5,73.3
243,PS 072 DR WILLIAM DORNEY,Elementary School, 67.49 ,B,50.89,0.228,0.377,0.576,4.5,Undeveloped,832,12.6,86.8
244,PS 075,Elementary School, 79.26 ,B,56.29,0.398,0.408,0.665,1.5,Proficient,626,14.2,90.3
245,PS 093 ALBERT G. OLIVER,Elementary School, 73.38 ,C,39.31,0.313,0.219,0.483,1.5,Undeveloped,341,11.3,73.9
246,PS 100 ISSAC CLASON,Elementary School, 72.15 ,C,42.56,0.538,0.746,0.166,3,Well-Developed,576,12.7,82.1
247,PS 107,Elementary School, 71.34 ,B,53.49,0.41,0.313,0.636,3,Undeveloped,515,14.3,99
248,PS 130 ABRAM STEVENS HEWITT,Elementary School, 82.08 ,F,24.48,0.366,0.364,0.147,0,Well-Developed,496,12.7,86.3
249,PS 138 SAMUEL RANDALL,Elementary School, 71.31 ,C,43.25,0.544,0.496,0.367,0,Proficient,711,14.5,89.9
250,PS 140 EAGLE,Elementary School, 76.44 ,C,46.58,0.551,0.446,0.413,2.25,Well-Developed,635,13.2,92.3
251,PS 146 EDWARD COLLINS,Elementary School, 78.51 ,B,62.03,0.362,0.473,0.648,6.75,Proficient,405,13.5,97.8
