,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
352,PS 396,Elementary School, 80.42 ,D,38.07,0.5,0.501,0.283,0,Proficient,336,5.8,92.9
353,PS/IS 54,Elementary School, 77.56 ,B,54.14,0.218,0.312,0.727,1.5,Undeveloped,"1,516",16.4,52.1
354,RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141),High School, 2.78 ,A,75.11,0.536,0.759,0.587,12,Proficient,845,12.4,92.7
355,RYER AVENUE ELEMENTARY SCHOOL,Elementary School, 79.66 ,B,58.7,0.421,0.549,0.612,2.25,Proficient,426,13.3,87.6
356,THE CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,High School, 2.78 ,B,54.03,0.571,0.807,0.304,4.5,Proficient,490,14.2,78.8
357,"THE MARIE CURIE HIGH SCHOOL FOR MEDICINE, NURSING",Middle School, 2.90 ,B,54.98,0.667,0.735,0.417,0,Proficient,739,14.5,97.3
358,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,Middle School, 2.75 ,B,59.02,0.66,0.61,0.506,3,Proficient,619,16.7,80.1
359,THEATRE ARTS PRODUCTION COMPANY SCHOOL,Middle School, 3.29 ,B,62.63,0.611,0.691,0.568,1.5,Proficient,700,14.0,97.1
360,WEST BRONX ACADEMY FOR THE FUTURE,Middle School, 2.93 ,B,53.95,0.295,0.61,0.513,3,Proficient,611,13.3,94.6
361,ASTOR COLLEGIATE ACADEMY,High School, 2.64 ,A,68.47,0.604,0.996,0.4,7.5,Proficient,470,15.6,74.3
362,BRONX ACADEMY OF HEALTH CAREERS,High School, 2.47 ,A,80.4,0.545,0.933,0.776,1.5,Proficient,392,15.6,80.1
363,BRONX AEROSPACE HIGH SCHOOL,High School, 2.55 ,A,93.65,0.548,0.942,0.876,9,Proficient,343,13.1,75.2
364,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,High School, 2.56 ,B,55.81,0.553,0.653,0.372,7.5,Proficient,436,13.6,82.3
365,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,High School, 2.96 ,A,68.4,0.502,0.934,0.597,0,Well-Developed,606,16.8,70.3
366,HARRY S TRUMAN HIGH SCHOOL,High School, 2.37 ,B,52.66,0.358,0.761,0.444,0,Proficient,"1,984",17.4,73
367,HIGH SCHOOL FOR CONTEMPORARY ARTS,High School, 2.55 ,A,96.05,0.702,0.891,0.878,10.5,Proficient,446,19.3,76.9
368,I S 180 DANIEL HALE WILLIAMS,Middle School, 3.23 ,B,52.61,0.438,0.57,0.485,2.25,Proficient,882,14.4,82.1
369,I S 181 PABLO CASALS,Middle School, 3.22 ,B,58.77,0.482,0.601,0.527,4.5,Proficient,809,15.8,77.8
370,JHS 127 THE CASTLE HILL,Middle School, 3.10 ,D,38.44,0.494,0.546,0.253,0.75,Undeveloped,491,12.9,76.4
371,JHS 144 MICHELANGELO,Middle School, 2.98 ,C,48.47,0.362,0.557,0.411,3.75,Proficient,967,14.8,75.8
372,P.S./I.S. 194,K-8 School, 68.04 ,C,45.26,0.522,0.598,0.3,3,Well-Developed,496,17.0,72.2
373,PELHAM PREPARATORY ACADEMY,High School, 2.95 ,B,55.63,0.391,0.795,0.471,0,Well-Developed,"1,135",13.1,89
374,PS 016 WAKEFIELD,Elementary School, 67.68 ,D,31.56,0.477,0.423,0.213,0,Well-Developed,"1,107",13.1,90.9
375,PS 019 JUDITH K. WEISS,K-8 School, 28.10 ,B,55.74,0.665,0.68,0.393,3.75,Well-Developed,"1,093",15.8,73.9
376,PS 021 PHILLIP H SHERIDAN,Elementary School, 71.55 ,B,54.07,0.344,0.41,0.611,3,Proficient,616,14.3,77.9
377,PS 041 GUN HILL RD,Elementary School, 74.84 ,C,39.46,0.503,0.522,0.296,0,Proficient,681,14.7,91.9
378,PS 068 BRONX,Elementary School, 74.54 ,C,49.11,0.484,0.653,0.364,2.25,Well-Developed,430,13.4,97.2
379,PS 076 THE BENNINGTON SCHOOL,Elementary School, 73.14 ,A,72.61,0.61,0.674,0.65,7.5,Well-Developed,920,14.5,67.6
380,PS 078 ANNE HUTCHINSON,Elementary School, 69.93 ,D,34.67,0.311,0.302,0.353,1.5,Proficient,647,14.6,65.2
381,PS 083 DONALD HERTZ,K-8 School, 52.47 ,B,53.36,0.696,0.507,0.449,3,Well-Developed,358,13.2,97.2
382,PS 087 BRONX,Elementary School, 65.81 ,B,56.79,0.327,0.436,0.664,2.25,Proficient,405,11.2,71.6
383,PS 089 BRONX,K-8 School, 61.83 ,B,59.38,0.284,0.426,0.647,6.75,Well-Developed,333,15.1,51.7
384,PS 096 RICHARD RODGERS,Elementary School, 63.53 ,C,39.61,0.412,0.549,0.254,3,Proficient,437,12.4,80.3
385,PS 097 BRONX,Elementary School, 57.47 ,B,54.35,0.361,0.531,0.573,1.5,Proficient,511,16.4,59.5
386,PS 103 HECTOR FONTANEZ,Elementary School, 70.20 ,C,41.02,0.335,0.344,0.426,2.25,Proficient,701,16.2,91.6
387,PS 105 SEN ABRAHAM BERNSTEIN,Elementary School, 61.67 ,C,43.16,0.396,0.464,0.383,2.25,Well-Developed,921,16.1,98.6
388,PS 106 PARKCHESTER,Elementary School, 65.13 ,F,24.76,0.478,0.701,-0.063,0,Well-Developed,677,11.2,69.4
389,PS 108 PHILIP J ABINANTI,Elementary School, 41.24 ,C,47.35,0.481,0.549,0.403,1.5,Well-Developed,958,14.3,76.6
390,PS 111 SETON FALLS,Elementary School, 68.72 ,B,57.44,0.689,0.363,0.617,2.25,Well-Developed,823,14.6,84
391,PS 112 BRONXWOOD,Elementary School, 76.14 ,B,55.54,0.407,0.356,0.65,3,Proficient,"1,692",15.8,64.6
392,PS 121 THROOP,Elementary School, 63.43 ,C,47.34,0.797,0.632,0.285,0.75,Well-Developed,587,15.8,84.3
393,PS 160 WALT DISNEY,Elementary School, 60.44 ,B,53.69,0.487,0.542,0.493,3,Proficient,"1,550",17.4,78
394,PS 175 CITY ISLAND,K-8 School, 30.04 ,B,59.09,0.692,0.692,0.481,1.5,Proficient,957,13.0,81.8
395,PS 178 DR SELMAN WAXMAN,Elementary School, 63.23 ,C,44.04,0.259,0.393,0.461,3,Well-Developed,659,13.1,79.5
396,PS. 153 HELLEN KELLER,Elementary School, 56.55 ,C,38.79,0.625,0.611,0.202,0,Well-Developed,"1,326",15.0,80.9
397,ACCION ACADEMY,Middle School, 3.04 ,B,63.26,0.428,0.682,0.607,3,Undeveloped,152,13.8,91.4
398,BRONX INTERNATIONAL HIGH SCHOOL,High School, 2.14 ,A,78.9,0.675,0.755,0.675,9,Proficient,401,12.9,95
399,BRONX LATIN,Middle School, 3.04 ,A,76.79,0.723,0.825,0.722,1.5,Well-Developed,576,11.5,94.6
400,BRONX LITTLE SCHOOL,Elementary School, 71.07 ,A,72.53,0.297,0.448,0.993,0,Proficient,291,11.1,91.1
401,BUS. SCHL. ENTREPREN. STUDIES,Middle School, 2.90 ,D,36.87,0.277,0.299,0.405,1.5,Proficient,200,15.3,84.5
402,EAST BRONX ACADEMY FOR THE FUTURE,Middle School, 2.99 ,D,37.7,0.435,0.4,0.348,0,Proficient,664,12.0,91.9
403,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,High School, 2.35 ,B,59.9,0.673,0.577,0.427,9,Well-Developed,243,12.1,90.9
404,FANNIE LOU HAMER MIDDLE SCHOOL,Middle School, 2.91 ,F,25.81,0.49,0.337,0.152,0,Proficient,458,14.3,84.1
405,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,Middle School, 3.14 ,A,66.63,0.741,0.647,0.575,4.5,Proficient,278,12.6,87.4
406,HIGH SCHOOL OF WORLD CULTURES,High School, 2.29 ,B,58.58,0.663,0.606,0.554,0,Proficient,225,17.2,89.3
407,IS 190,Middle School, 2.92 ,A,68.04,0.489,0.65,0.694,3,Proficient,432,13.9,98.1
408,IS 318 MATH SCI &TECH THRU ART,Middle School, 2.91 ,D,33.69,0.402,0.327,0.311,0.75,Proficient,257,10.7,98.4
409,JHS 098 HERMAN RIDDER,Middle School, 2.92 ,A,69.26,0.397,0.573,0.716,6.75,Proficient,237,13.9,95.4
410,KAPPA III,Middle School, 3.30 ,C,46.57,0.637,0.659,0.314,0,Proficient,388,16.1,91.2
411,MOTT HALL V,Middle School, 3.07 ,A,95.86,0.877,0.982,0.927,2.25,Proficient,513,12.8,93.8
412,PS 006 WEST FARMS,Elementary School, 77.28 ,B,53.04,0.293,0.386,0.579,5.25,Proficient,684,13.3,86.3
413,PS 044 DAVID C FARRAGUT,Elementary School, 77.05 ,D,32.21,0.218,0.329,0.347,0,Well-Developed,649,16.0,93.7
414,PS 047 JOHN RANDOLPH,Elementary School, 75.00 ,D,37.55,0.447,0.516,0.28,0,Well-Developed,867,14.4,94.3
415,PS 057 CRESCENT,Elementary School, 80.58 ,C,46.63,0.301,0.435,0.501,1.5,Well-Developed,962,15.7,93.5
416,PS 061 FRANCISCO OLLER,Elementary School, 74.72 ,B,57.71,0.812,0.441,0.546,2.25,Undeveloped,935,13.1,90.2
417,PS 066 SCH OF HIGHER EXPECTAT,Elementary School, 77.75 ,D,31.09,0.463,0.283,0.285,0,Proficient,392,10.8,82.7
418,PS 067 MOHEGAN SCHOOL,Elementary School, 78.88 ,C,48.79,0.153,0.46,0.554,2.25,Well-Developed,598,13.5,92.5
419,PS 129 TWIN PARKS UPPER,Middle School, 2.80 ,C,48.52,0.479,0.441,0.511,0,Proficient,441,13.7,98.2
420,PS 134 GEORGE F BRISTOW,Elementary School, 80.31 ,C,46.98,0.371,0.409,0.53,0,Proficient,"1,084",15.0,87.5
421,PS 150 CHARLES JAMES FOX,Elementary School, 80.17 ,B,63.52,0.629,0.611,0.609,2.25,Proficient,278,11.1,95.7
422,PS 195,Elementary School, 75.42 ,C,48.37,0.418,0.518,0.442,2.25,Proficient,"1,072",14.0,96.8
423,PS 196,Elementary School, 76.06 ,B,53.81,0.744,0.669,0.383,1.5,Well-Developed,510,11.7,88.4
424,PS 198,Elementary School, 80.26 ,C,41.38,0.505,0.16,0.459,3.75,Proficient,534,11.6,98.7
425,PS 211,K-8 School, 80.84 ,C,49.73,0.419,0.374,0.572,0.75,Proficient,285,14.2,97.2
426,PS 212,K-8 School, 75.86 ,B,50.36,0.509,0.365,0.537,2.25,Well-Developed,661,11.7,89
427,PS 214,K-8 School, 75.10 ,B,51.06,0.654,0.345,0.534,1.5,Proficient,543,15.0,89.5
428,SCHOOL OF PERFORMING ARTS,Middle School, 3.01 ,A,65.51,0.454,0.472,0.714,5.25,Well-Developed,304,11.6,96.4
429,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,Elementary School, 78.41 ,C,44.43,0.381,0.406,0.482,0,Proficient,611,14.5,89.9
430,WINGS ACADEMY,High School, 2.48 ,B,57.93,0.465,0.659,0.512,3,Proficient,493,15.3,87.8
431,BEDFORD ACADEMY HIGH SCHOOL,High School, 3.03 ,A,103.6,0.956,0.935,1.113,0,Well-Developed,368,16.7,73.4
432,BENJAMIN BANNEKER ACADEMY,High School, 3.35 ,B,58.68,0.363,0.637,0.621,0,Well-Developed,844,19.6,69.3
433,BROOKLYN ACADEMY HIGH SCHOOL,Transfer School, NA ,B,52.72,0.654,0.559,0.462,0.75,Proficient,140,11.6,83.6
434,BROOKLYN INTERNATIONAL HIGH SCHOOL,High School, 2.79 ,A,80.89,0.899,0.577,0.747,9,Well-Developed,354,15.0,80.8
435,BROOKLYN TECHNICAL HIGH SCHOOL,High School, 3.86 ,B,52.1,0.227,0.665,0.521,0,Proficient,"5,839",23.8,62.1
436,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION,High School, 2.53 ,C,41.18,0.608,0.51,0.196,6,Proficient,370,11.2,91.9
437,JHS 113/OLD 294 EDMONDS CNTR,Middle School, 3.37 ,B,51.23,0.521,0.558,0.471,0.75,Proficient,748,16.2,79.9
438,JHS 265 SUSAN S. MCKINNEY,High School, 2.65 ,B,62.94,0.516,0.665,0.586,3,Proficient,305,12.2,92.1
439,MS 266 PARK PLACE COMM. MS,Middle School, 3.34 ,B,51.04,0.545,0.616,0.416,1.5,Proficient,161,10.7,86.3
440,PS 003 THE BEDFORD VILLAGE,Elementary School, 63.46 ,C,47.08,0.463,0.399,0.499,0.75,Proficient,893,17.8,44.9
441,PS 008 ROBERT FULTON,Elementary School, 36.00 ,C,43.61,0.546,0.425,0.412,0,Proficient,781,14.2,36
442,PS 009 TEUNIS G BERGEN,Elementary School, 66.65 ,B,57.18,0.371,0.554,0.636,0,Proficient,447,14.9,61.7
443,PS 011 PURVIS J BEHAN,Elementary School, 63.20 ,C,44.16,0.329,0.766,0.282,0.75,Proficient,223,12.3,97.3
444,PS 020 CLINTON HILL,Elementary School, 65.08 ,B,50.55,0.434,0.684,0.414,0.75,Proficient,115,8.8,87
445,PS 044 MARCUS GARVEY,Elementary School, 71.87 ,B,55.15,0.378,0.776,0.422,3,Proficient,736,13.8,54.6
446,PS 046 EDWARD C BLUM,Elementary School, 74.01 ,B,57.96,0.297,0.387,0.721,2.25,Undeveloped,175,9.6,93.1
447,PS 054 SAMUEL C BARNES,Elementary School, 73.81 ,C,49.18,0.383,0.387,0.565,0.75,Undeveloped,393,16.3,92.4
448,PS 056 LEWIS H LATIMER,Elementary School, 73.01 ,D,32.22,0.524,0.551,0.142,0,Proficient,137,11.4,97.1
449,PS 067 CHARLES A DORSEY,Elementary School, 77.73 ,B,57.34,0.532,0.273,0.735,0.75,Proficient,365,9.3,78.4
450,PS 093 WILLIAM H PRESCOTT,Elementary School, 76.00 ,A,65.96,0.392,0.727,0.641,3,Proficient,138,9.1,96.4
451,PS 133 WILLIAM A BUTLER,Elementary School, 71.80 ,B,54.93,0.398,0.669,0.47,3,Undeveloped,280,11.6,89.6
452,PS 256 BENJAMIN BANNEKER,Elementary School, 71.05 ,C,44.9,0.277,0.435,0.49,0.75,Proficient,208,8.5,94.2
453,PS 270 JOHANN DEKALB,Elementary School, 74.31 ,F,8.154,0.382,0.492,-0.252,1.5,Proficient,213,11.4,75.6
454,PS 282 PARK SLOPE,Elementary School, 55.36 ,C,41.76,0.592,0.524,0.312,0,Well-Developed,211,10.5,99.1
455,PS 287 BAILEY K ASHFORD,Elementary School, 75.55 ,F,17.38,-0.084,0.279,0.187,0,Proficient,916,16.0,18.3
456,PS 305 DR PETER RAY,Elementary School, 72.16 ,B,59.06,0.305,0.339,0.765,2.25,Undeveloped,900,15.5,41.4
457,PS 307 DANIEL HALE WILLIAMS,Elementary School, 73.53 ,D,32.42,0.251,0.253,0.383,0,Proficient,288,14.3,95.1
458,SATELLITE EAST MIDDLE SCHOOL,Middle School, 3.24 ,D,31.48,0.455,0.379,0.241,0,Proficient,106,11.7,94.3
459,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",High School, 2.87 ,D,34.07,-0.008,0.496,0.323,1.5,Undeveloped,557,15.5,82.6
460,AUTOMOTIVE HIGH SCHOOL,High School, 2.41 ,F,28.5,0.293,0.270,0.291,0,Proficient,404,10.9,80.4
461,CONSELYEA PREPARATORY SCHOOL,Middle School, 3.42 ,A,76.73,0.732,0.62,0.748,6,Proficient,503,15.2,53.7
462,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,High School, 2.47 ,B,59.4,0.672,0.386,0.658,1.5,Well-Developed,239,14.0,87
463,JHS 050 JOHN D WELLS,Middle School, 2.94 ,A,65.57,0.385,0.507,0.701,6,Undeveloped,873,17.3,80.8
464,JHS 126 JOHN ERICSSON,Middle School, 3.10 ,D,32.41,0.296,0.308,0.313,1.5,Proficient,"1,248",16.4,65.9
465,JHS 318 EUGENIO MARIA DEHOSTOS,Middle School, 3.56 ,B,61.07,0.709,0.523,0.509,6.75,Proficient,377,11.4,85.1
466,JUAN MOREL CAMPOS SECONDARY SCHOOL,Middle School, 3.02 ,C,46.96,0.402,0.356,0.482,3.75,Proficient,528,9.0,87.5
467,MS 582,Middle School, 3.30 ,C,46.88,0.63,0.238,0.483,3.75,Proficient,289,11.1,89.6
468,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,High School, 2.55 ,B,49.3,0.347,0.490,0.478,3,Undeveloped,260,11.8,83.5
469,PS 016 LEONARD DUNKLY,Elementary School, 71.63 ,D,37.08,0.18,0.411,0.401,0,Proficient,759,16.1,88.8
470,PS 017 HENRY D WOODWORTH,Elementary School, 70.58 ,B,58.53,0.506,0.696,0.505,2.25,Proficient,522,16.3,26.4
471,PS 018 EDWARD BUSH,Elementary School, 74.52 ,A,85.11,0.755,0.54,0.992,3,Proficient,407,14.0,86.7
472,PS 023 CARTER C WOODSON,Elementary School, 76.50 ,F,19.71,0.206,0.246,0.168,0,Proficient,724,17.2,41.2
473,PS 031 SAMUEL F DUPONT,Elementary School, 50.54 ,A,67.77,0.828,1.054,0.431,0,Well-Developed,355,14.6,70.4
474,PS 034 OLIVER H PERRY,Elementary School, 38.10 ,A,65.84,0.989,0.815,0.483,0,Well-Developed,226,12.5,91.2
475,PS 059 WILLIAM FLOYD,Elementary School, 76.50 ,D,37.72,0.243,0.341,0.434,0,Proficient,267,8.6,70.4
476,PS 084 JOSE DE DIEGO,Elementary School, 70.20 ,D,35.8,0.362,0.164,0.449,0.75,Proficient,178,10.4,88.2
477,PS 110 THE MONITOR,Elementary School, 45.68 ,B,53.82,0.818,0.215,0.515,6.75,Proficient,313,11.1,87.5
478,PS 120 CARLOS TAPIA,Elementary School, 78.37 ,B,57.8,0.919,0.473,0.488,3,Proficient,289,11.5,90.3
479,PS 132 CONSELYA,Elementary School, 56.82 ,A,72.95,0.705,0.541,0.757,4.5,Well-Developed,484,14.2,79.1
480,PS 147 ISSAC REMSEN,Elementary School, 74.68 ,A,65.34,0.499,0.519,0.714,3,Well-Developed,621,16.7,83.1
481,PS 157 BENJAMIN FRANKLIN,Elementary School, 77.98 ,A,67.08,0.849,0.621,0.622,1.5,Proficient,223,11.7,92.4
482,PS 196 TEN EYCK,Elementary School, 73.37 ,C,43.75,0.684,0.814,0.165,0,Well-Developed,594,14.8,72.1
483,PS 250 GEORGE H LINDSAY,Elementary School, 62.65 ,B,53.14,0.704,0.681,0.403,0,Well-Developed,482,15.0,28.8
484,PS 257 JOHN F HYLAN,Elementary School, 76.98 ,A,64.59,0.867,0.936,0.386,2.25,Proficient,582,10.9,79.6
485,PS 297 ABRAHAM STOCKTON,Elementary School, 75.26 ,C,42.47,0.261,0.448,0.402,3,Proficient,315,13.6,94.3
486,PS 380 JOHN WAYNE ELEM.,Elementary School, 72.38 ,B,59.23,0.903,0.816,0.344,2.25,Well-Developed,795,9.9,47.3
487,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS, AND TECH",High School, 2.55 ,A,78.19,0.427,0.893,0.628,10.5,Well-Developed,481,12.9,87.1
488,BROOKLYN HIGH SCHOOL OF THE ARTS,High School, 2.90 ,C,39.86,0.398,0.459,0.257,6,Well-Developed,633,14.3,57.5
489,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIE,Middle School, 3.13 ,A,66.64,0.645,0.552,0.598,7.5,Proficient,675,11.2,68.6
490,COBBLE HILL SCHOOL OF AMERICAN STUDIES,High School, 2.41 ,D,32.72,0.208,0.438,0.299,0,Proficient,864,14.6,69.6
491,IS 136 CHARLES O DEWEY,Middle School, 2.80 ,B,59.75,0.536,0.564,0.578,3,Undeveloped,686,14.5,34.5
492,JHS 088 PETER ROUGET,Middle School, 3.06 ,A,75.34,0.577,0.684,0.676,9,Proficient,588,16.2,90.1
493,"MAGNET SCH. OF MATH, SCI. AND DESIGN TECHNOLOGY",Elementary School, 61.80 ,C,40.64,0.706,0.497,0.275,0,Well-Developed,485,11.8,97.3
494,MS 51 WILLIAM ALEXANDER,Middle School, 3.73 ,B,54.47,0.505,0.707,0.413,3,Proficient,"1,355",13.5,80.7
495,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,Middle School, 3.17 ,A,70.72,0.595,0.782,0.588,6,Proficient,933,9.6,23.5
496,PS 001 THE BERGEN,Elementary School, 76.94 ,B,58.08,0.701,0.658,0.506,0,Proficient,524,10.4,20.4
497,PS 015 PATRICK F. DALY,Elementary School, 75.01 ,A,65.97,0.621,0.754,0.537,4.5,Proficient,"1,132",17.1,29.1
498,PS 024,Elementary School, 78.11 ,A,69.7,0.709,0.564,0.725,2.25,Well-Developed,569,16.2,30.6
499,PS 029 JOHN M HARRIGAN,Elementary School, 28.40 ,B,59.04,0.678,0.686,0.501,0.75,Well-Developed,"1,298",12.5,84.3
500,PS 032 SAMUELS MILLS SPROLE,Elementary School, 67.72 ,B,52.18,0.771,0.348,0.535,0.75,Well-Developed,566,15.2,7.2
501,PS 038 THE PACIFIC,Elementary School, 62.91 ,A,68.07,0.238,0.408,0.882,3.75,Proficient,345,12.4,67
502,PS 039 HENRY BRISTOW,Elementary School, 45.29 ,C,48.23,0.661,0.532,0.406,0,Proficient,833,14.6,40
503,PS 058 THE CARROLL,Elementary School, 34.17 ,D,35.91,0.54,0.453,0.245,0.75,Proficient,"1,004",14.1,85.9
504,PS 094 THE HENRY LONGFELLOW,Elementary School, 64.55 ,A,76.24,0.504,0.397,0.882,8.25,Well-Developed,487,10.5,71.7
505,PS 107 JOHN W KIMBALL,Elementary School, 26.74 ,A,70.03,0.663,0.619,0.7,3,Proficient,"1,508",12.6,91.4
506,PS 124 SILAS B DUTCHER,Elementary School, 69.21 ,A,68.2,0.67,0.83,0.577,1.5,Proficient,590,12.2,86.6
507,PS 130 THE PARKSIDE,Elementary School, 58.95 ,B,54.36,0.573,0.727,0.435,0,Proficient,"1,168",14.5,71.1
508,PS 131 BROOKLYN,Elementary School, 65.29 ,B,53,0.585,0.535,0.485,1.5,Well-Developed,654,12.5,95.1
509,PS 146,Elementary School, 35.13 ,C,40.3,0.73,0.608,0.188,0.75,Well-Developed,803,14.0,36.2
510,PS 169 SUNSET PARK,Elementary School, 64.34 ,B,54.7,0.673,0.547,0.499,0.75,Well-Developed,922,15.1,11.7
511,PS 172 BEACON SCH OF EXCELLEN,Elementary School, 73.05 ,A,80.86,0.918,1.086,0.587,2.25,Well-Developed,451,12.5,43.2
512,PS 230 DORIS L COHEN,Elementary School, 42.15 ,B,58.81,0.682,0.643,0.437,5.25,Well-Developed,532,7.7,45.3
513,PS 261 PHILIP LIVINGSTON,Elementary School, 43.14 ,C,45.78,0.485,0.454,0.398,3,Proficient,"1,417",17.7,7.2
514,PS 295,Elementary School, 55.32 ,A,77.44,0.611,0.515,0.892,3.75,Proficient,570,15.3,50.4
515,PS 321 WILLIAM PENN,Elementary School, 18.27 ,B,55.35,0.794,0.729,0.392,0,Well-Developed,411,15.2,11.9
516,SCHOOL FOR INTERNATIONAL STUDIES,Middle School, 3.04 ,A,82.43,0.505,0.832,0.839,3.75,Proficient,988,14.7,10.9
517,SECONDARY SCHOOL FOR JOURNALISM,High School, 2.76 ,C,38.04,0.31,0.288,0.423,1.5,Proficient,"1,382",14.6,98.3
518,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,Transfer School, NA ,B,57.97,0.537,0.665,0.504,2.25,Well-Developed,217,13.5,85.7
519,SUNSET PARK PREP,Middle School, 3.37 ,A,66.31,0.628,0.705,0.554,5.25,Well-Developed,184,14.1,89.7
520,THE MATH & SCIENCE EXPLORATORY SCHOOL,Middle School, 3.53 ,A,69.86,0.457,0.766,0.659,3.75,Well-Developed,503,11.4,96.2
521,BOYS AND GIRLS HIGH SCHOOL,High School, 2.44 ,C,43.51,0.192,0.416,0.512,0,Proficient,412,13.7,79.6
522,JHS 057 WHITELAW REID,Middle School, 2.83 ,C,45.09,0.432,0.452,0.455,0,Proficient,199,9.9,94
523,"MS 267 MATH, SCIENCE & TECH.",Middle School, 2.92 ,F,11.84,0.329,0.528,-0.23,3.75,Proficient,266,14.7,90.2
524,PS 005 DR. RONALD MCNAIR,Elementary School, 70.37 ,F,19.07,0.298,0.499,-0.034,1.5,Proficient,248,14.5,87.1
525,PS 021 CRISPUS ATTUCKS,Elementary School, 67.24 ,B,50.18,0.755,0.732,0.28,1.5,Well-Developed,574,13.6,74
526,PS 025 EUBIE BLAKE SCHOOL,Elementary School, 78.49 ,B,62.27,0.399,0.337,0.799,2.25,Proficient,229,9.5,94.3
527,PS 026 JESSE OWENS,Elementary School, 71.59 ,A,64.95,0.603,0.566,0.681,1.5,Proficient,101,5.9,99
528,PS 028 THE WARREN,Elementary School, 75.90 ,F,26.42,0.509,0.389,0.129,0,Proficient,230,11.5,80
529,PS 035 STEPHEN DECATUR,Middle School, 2.85 ,B,51.72,0.47,0.427,0.525,3,Proficient,183,9.1,94
530,PS 040 GEORGE W CARVER,Elementary School, 73.13 ,C,47.62,0.475,0.304,0.543,1.5,Proficient,131,9.3,94.7
531,PS 081 THADDEUS STEVENS,Elementary School, 74.83 ,A,66.88,0.431,0.63,0.714,2.25,Proficient,272,9.0,90.4
532,PS 243 WEEKSVILLE,Elementary School, 75.80 ,B,60.23,0.395,0.381,0.684,5.25,Proficient,204,9.7,83.3
533,PS 262 EL HAJJ MALIK SHABAZZ,Elementary School, 76.40 ,A,75.28,0.352,0.804,0.78,3,Proficient,242,9.6,90.1
534,PS 308 CLARA CARDWELL,K-8 School, 72.97 ,B,52.64,0.482,0.503,0.497,3,Proficient,316,15.0,87.7
535,PS 309 GEORGE E WIBECAN,Elementary School, 75.78 ,D,34.98,0.297,0.421,0.325,0,Proficient,209,13.0,89
536,PS 335 GRANVILLE T WOODS,Elementary School, 74.68 ,C,43.61,0.37,0.265,0.52,1.5,Well-Developed,293,10.4,90.8
537,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,High School, 2.73 ,B,51.6,0.28,0.473,0.548,3,Proficient,368,16.7,82.3
538,BROOKLYN SCHOOL FOR MUSIC & THEATRE,High School, 2.69 ,B,62.28,0.535,0.674,0.509,6,Proficient,302,16.7,84.1
539,BROWNSVILLE ACADEMY HIGH SCHOOL,Transfer School, NA ,B,44.83,0.312,0.679,0.360,0,Proficient,101,12.6,87.1
540,CLARA BARTON HIGH SCHOOL,High School, 2.76 ,B,55.84,0.367,0.525,0.574,3,Proficient,"1,208",16.5,78.9
541,EBBETS FIELD MIDDLE SCHOOL,Middle School, 2.82 ,B,55.68,0.478,0.358,0.591,5.25,Proficient,165,9.7,97.6
542,ELIJAH STROUD MIDDLE SCHOOL,Middle School, 2.94 ,A,66.96,0.637,0.504,0.741,1.5,Proficient,143,10.9,95.1
543,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,High School, 2.98 ,B,66.2,0.557,0.797,0.562,3,Proficient,456,15.6,80.3
544,IS 246 WALT WHITMAN,Middle School, 2.93 ,C,42.35,0.316,0.36,0.392,5.25,Proficient,225,13.2,80
545,IS 340,Middle School, 3.66 ,D,35.69,0.408,0.466,0.243,2.25,Undeveloped,"1,253",21.9,70.8
546,M S 061 GLADSTONE H. ATWELL,Middle School, 3.14 ,B,52.44,0.577,0.47,0.499,2.25,Well-Developed,409,12.0,85.6
547,MEDGAR EVERS PREPARATORY SCHOOL AT MEDGAR EVERS CO,High School, 3.09 ,B,58.14,0.24,0.693,0.614,0,Well-Developed,469,13.0,88.3
548,MS 394K,K-8 School, 76.58 ,C,46.29,0.568,0.59,0.365,0,Proficient,723,16.4,72.5
549,PS 091 THE ALBANY AVE. SCHOOL,Elementary School, 78.75 ,B,56.45,0.678,0.725,0.337,6,Proficient,560,11.9,92.9
