,School Name,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch,DISTRICT
1435,Ps 20 Port Richmond,455,10.3,96%,31
1436,Ps 21 Margaret Emery-Elm Park,364,10.7,80.8%,31
1437,Ps 22 Graniteville,967,14.2,87.9%,31
1438,Ps 23 Richmondtown,562,13.3,37.2%,31
1439,Is 24 Myra S Barnes,"1,264",12.1,43.4%,31
1440,Ps 26 Carteret School (The),264,12.5,48.9%,31
1441,Is 27 Anning S Prall,"1,001",16.0,73%,31
1442,Ps 29 Bardwell,642,16.4,53%,31
1443,Ps 30 Westerleigh,827,14.2,35.6%,31
1444,Ps 31 William T Davis,392,10.8,90.6%,31
1445,Ps 32 Gifford School (The),675,14.9,32.9%,31
1446,Ps 35 Clove Valley School (The),393,17.8,38.9%,31
1447,Ps 36 J C Drumgoole,858,14.2,34.5%,31
1448,Ps 38 George Cromwell,375,12.0,69.9%,31
1449,Ps 39 Francis J Murphy Junior,540,14.5,67.8%,31
1450,Stephanie A Vierno School (The),678,13.2,67.7%,31
1451,Ps 42 Eltingville,"1,036",15.0,36.8%,31
1452,Ps 44 Thomas C Brown,867,11.2,94.6%,31
1453,Ps 45 John Tyler,862,14.8,72.3%,31
1454,Ps 46 Albert V Maniscalco,270,11.2,82.6%,31
1455,Ps 48 William G Wilcox,982,15.8,41.3%,31
1456,Is 49 Berta A Dreyfus,626,10.4,94.1%,31
1457,Ps 50 Frank Hankinson,773,15.4,40.2%,31
1458,Ps 52 John C Thompson,524,13.4,65.1%,31
1459,Barbara Esselborn School (The),830,15.9,38.8%,31
1460,Ps 54 Charles W Leng,808,13.6,59.9%,31
1461,Ps 55 Henry M Boehm,602,12.8,36.9%,31
1462,Ps 57 Hubert H Humphrey,714,13.4,86%,31
1463,Ps 60 Alice Austen,875,14.1,58.1%,31
1464,Ps 69 Daniel D Tompkins,936,9.2,57.5%,31
1465,Port Richmond High School,"1,541",16.3,74%,31
1466,Ralph R McKee Career And Technical Education High School,795,14.0,67.5%,31
1467,Susan E Wagner High School,"3,281",20.0,55.9%,31
1468,Tottenville High School,"3,803",19.1,35.9%,31
1469,Ps 56 Louis Desario School (The),604,12.5,36.8%,31
1470,Staten Island Technical High School,"1,320",21.9,42%,31
1471,Is 75 Frank D Paulo,"1,368",12.6,38.5%,31
1472,Ps 6 Corporal Allan F Kivlehan School,541,12.5,39.2%,31
1473,Space Shuttle Columbia School,692,12.7,52.5%,31
1474,Csi High School For International Studies,492,18.2,48.6%,31
1475,Marsh Avenue School For Expeditionary Learning,459,13.5,38.6%,31
1476,Gaynor McCown Expeditionary Learning School,439,12.5,45.6%,31
1477,Ps 65 Academy Of Innovative Learning (The),428,13.8,60.3%,31
1478,Staten Island School Of Civic Leadership,897,14.4,78.7%,31
1479,Ps 74 Future Leaders Elementary School,312,10.7,91.3%,31
1480,Ps 78,845,12.9,96%,31
1481,Naples Street Elementary School,298,11.9,40.9%,31
1482,Harbor View School (The),265,12.6,61.9%,31
1483,Fort Hill Collaborative Elementary School,167,9.8,89.2%,31
1484,Eagle Academy For Young Men Of Staten Island (The),253,11.0,84.6%,31
1485,Kathleen Grimm School For Leadership,215,11.3,27.4%,31
1486,Port Richmond School For Visionary Learning,153,13.9,79.1%,31
1487,Ebc High School For Public Service-Bushwick,488,12.4,89.3%,32
1488,Ps 376,518,15.6,87.1%,32
1489,Junior High School 383 Philippa Schuyler,869,15.3,83.4%,32
1490,Ps/Is 45 Horace E Greene,685,14.2,82.2%,32
1491,Ps 75 Mayda Cortiella,363,11.0,90.9%,32
1492,Ps 86 Irvington (The),379,11.8,98.2%,32
1493,Ps 106 Edward Everett Hale,427,11.8,95.6%,32
1494,Ps 116 Elizabeth L Farrell,390,10.8,89.2%,32
1495,Ps 123 Suydam,620,11.9,96.5%,32
1496,Ps 145 Andrew Jackson,581,13.8,91%,32
1497,Ps 151 Lyndon B Johnson,305,11.2,94.4%,32
1498,Junior High School 162 Willoughby (The),364,10.7,89.8%,32
1499,Ps 274 Kosciusko,408,15.0,96.6%,32
1500,Junior High School 291 Roland Hayes,290,10.7,95.9%,32
1501,Ps 299 Thomas Warren Field School,270,12.2,96.3%,32
1502,Ps 377 Alejandrina B De Gautier,315,12.1,93.3%,32
1503,Ps/Is 384 Frances E Carter,510,14.1,87.6%,32
1504,Is 347 School Of Humanities,311,11.9,94.5%,32
1505,Is 349 Math Science And Technology,310,11.9,97.7%,32
1506,All City Leadership Secondary School,435,24.1,85.7%,32
1507,Academy Of Urban Planning And Engineering (The),202,10.6,98%,32
1508,Brooklyn School For Social Justice (The),354,10.4,85.3%,32
1509,Bushwick Leaders High School For Academic Excellence,280,10.3,97.1%,32
1510,Bushwick Community High School,202,20.1,86.6%,32
1511,Academy For Environmental Leadership,272,10.8,91.9%,32
1512,Brooklyn School For Math And Research (The),272,12.9,90.1%,32
1513,Evergreen Middle School For Urban Exploration,345,9.5,90.4%,32
