,School Name,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch,DISTRICT
372,Mott Hall Community School,328,13.6,86.3%,8
373,Bronx Bridges High School,324,10.7,83%,8
374,Bronx Arena High School,172,11.4,89%,8
375,Blueprint Middle School,338,13.0,83.7%,8
376,Westchester Square Academy,599,16.4,80.5%,8
377,School For Tourism And Hospitality,291,10.7,90.7%,8
378,Bronx Compass High School,457,13.4,75.9%,8
379,Pelham Lab High School,463,13.2,87.9%,8
380,Schuylerville Preparatory High School,371,13.2,76.8%,8
381,Bronx River High School,397,12.0,81.4%,8
382,Bronx Delta School,279,13.9,73.5%,8
383,Ps 583,38.0%,100.0,87%,8
384,Ps 170,266,12.6,87.6%,9
385,Bronx Leadership Academy High School,574,14.0,87.3%,9
386,Ps 11 Highbridge,595,11.8,93.3%,9
387,Ps 28 Mount Hope,719,11.9,95.4%,9
388,Ps 35 Franz Siegel,665,13.5,91%,9
389,Ps 42 Claremont,430,13.4,99.8%,9
390,Ps 53 Basheer Quisim,"1,142",12.9,91.3%,9
391,Ps 55 Benjamin Franklin,637,12.7,97.6%,9
392,Ps 58,474,12.8,95.4%,9
393,Ps 114 Luis Llorens Torres School,737,15.0,94.7%,9
394,Ps 70 Max Schoenfeld,"1,231",14.8,96.7%,9
395,Ps 73 Bronx,705,15.6,94%,9
396,Ps 88 S Silverstein Little Sparrow School,146,12.1,92.5%,9
397,Ps 109 Sedgwick,663,13.5,92.9%,9
398,Ps 110 Theodore Schoenfeld,458,15.7,96.7%,9
399,Ps 126 Dr Marjorie H Dunbar,571,12.4,96.8%,9
400,Ps 132 Garrett A Morgan,371,12.7,94.3%,9
401,Ps 163 Arthur A Schomberg,476,10.5,99.6%,9
402,Is 229 Roland Patterson,246,9.1,92.7%,9
403,Ps 236 Langston Hughes,295,10.5,97.3%,9
404,Bronx School For Law Government And Justice,767,12.9,90.7%,9
405,Ps/Is 218 Rafael Hernandez Dual Language Magnet School,"1,012",14.4,87.1%,9
406,Is 219 New Venture School,353,9.8,94.9%,9
407,Is 303 Leadership & Community Service,334,10.7,99.4%,9
408,Is 313 School Of Leadership Development,317,10.9,91.2%,9
409,Is 339,505,10.3,92.1%,9
410,Ps 199 Shakespeare School (The),753,14.7,97.3%,9
411,Junior High School 22 Jordan L Mott,458,10.4,97.4%,9
412,Ps 204 Morris Heights,628,16.5,85.7%,9
413,Is 232,486,14.2,98.6%,9
414,Bronx International High School,401,12.9,95%,9
415,School For Excellence,372,14.9,85.8%,9
416,Bronx High School Of Business,288,10.2,88.2%,9
417,Bronx High School For Medical Science,432,14.8,84%,9
418,Ps/Middle School 4 Crotona Park West,577,12.2,93.1%,9
419,Is 117 Joseph H Wade,516,12.0,94.6%,9
420,High School For Violin And Dance,262,14.5,96.6%,9
421,Ps 63 Author's Academy,582,12.9,95.4%,9
422,Mott Hall III,364,15.8,93.1%,9
423,Bronx Writing Academy,438,11.2,95.2%,9
424,Comprehensive Model School Project Middle School 327,736,15.6,91.2%,9
425,New Millennium Business Academy Middle School,247,13.7,86.6%,9
426,Frederick Douglass Academy III Secondary School,429,14.7,86.9%,9
427,Bronx Collegiate Academy,394,13.5,85.5%,9
428,Eagle Academy For Young Men,513,13.9,78.8%,9
429,Urban Assembly School For Applied Math And Science (The),615,11.3,94.8%,9
430,Morris Academy For Collaborative Studies,401,11.7,94.5%,9
431,Kappa,317,13.7,92.7%,9
432,Eximius College Preparatory Academy: A College Board School,431,14.3,83.8%,9
433,Mott Hall Bronx High School,378,15.8,92.3%,9
434,Bronx Center For Science And Mathematics,461,15.3,85.7%,9
435,Validus Preparatory Academy,367,15.2,88.3%,9
436,Bronx Early College Academy For Teaching And Learning,525,14.1,88.6%,9
437,Dreamyard Preparatory School,268,12.1,85.8%,9
438,Academy For Language And Technology,327,13.0,97.6%,9
439,Science And Technology Academy: A Mott Hall School,450,11.8,93.6%,9
440,Grant Avenue Elementary School,439,12.5,95.4%,9
441,Family School (The),565,13.7,96.3%,9
442,Sheridan Academy For Young Leaders,477,14.4,96.9%,9
443,Mount Eden Children's Academy,424,15.1,91.7%,9
444,Claremont International High School,378,13.4,97.9%,9
445,Young Women's Leadership School Of The Bronx,462,12.8,87%,9
446,New American Academy At Roberto Clemente State Park (The),806,14.3,93.9%,9
447,Walton Avenue School (The),519,12.9,96.5%,9
448,Lucero Elementary School,411,14.6,98.1%,9
449,Highbridge Green School (The),397,10.7,97.2%,9
450,New Directions Secondary School,222,9.5,95%,9
451,Ps 51 Bronx New School,219,13.6,89.5%,10
452,Ps 23 New Children's School (The),495,13.0,92.1%,10
